"Sample";"Zr";"Nb";"Ni";"Fe";"Cr";"Fe+Cr";"Sn";"Mo";"Cu";"O2";"Si";"Tau. ч";"T.°C";"P";"Env";"Alloy ";"ln(K)"
"39 S";97.0000000;2.25000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-8.6318560
"38 S";97.5000000;1.87000;0.00000;0.63000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-8.5088940
"23 S";98.5000000;0.37000;0.00000;1.13000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-8.4068451
"22 S";99.0000000;0.25000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-8.2072601
"293 S";98.9440002;0.91000;0.00500;0.02600;0.01000;0.00000;0.00000;0.00500;0.00000;0.10000;0.00000;10000;400;250;"steam";"Zr-Nb";-8.0013800
"40 S";96.0000000;3.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-7.7517252
"25 S";97.5000000;0.63000;0.00000;1.87000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-7.2502456
"32 S";97.5000000;1.25000;0.00000;1.25000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-7.0663605
"30 S";98.5000000;0.75000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-6.7564659
"352 S";98.8000031;0.80000;0.40000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-5.8861041
"354 S";99.0000000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;10536;400;250;"steam";"Zr-Nb";-5.5514193
"349 S";98.0000000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;2225;350;168;"steam";"Zr-Nb";-5.2182746
"346 S";98.5000000;1.00000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"steam";"Zr-Nb";-5.1805344
"350 S";98.7799988;1.00000;0.00000;0.10000;0.00000;0.00000;0.00000;0.00000;0.00000;0.12000;0.00000;14400;360;186;"steam";"Zr-Nb";-5.1382318
"357 S";99.0000000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;9103;360;186;"steam";"Zr-Nb";-5.1276374
"175 S";99.6999969;0.10000;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-5.0994663
"345 S";99.0000000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3504;360;186;"steam";"Zr-Nb";-5.0751739
"181 S";99.6999969;0.20000;0.10000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.9103374
"176 S";99.4000015;0.20000;0.40000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.7307334
"183 S";99.2050018;0.53000;0.26500;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.5972018
"177 S";99.2050018;0.26500;0.53000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.5189924
"179 S";98.8000031;0.40000;0.80000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.3528562
"184 S";99.0009995;0.66600;0.33300;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.3466597
"187 S";98.0000000;1.35000;0.65000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.2686977
"182 S";99.4000015;0.40000;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.2260489
"178 S";99.0009995;0.33300;0.66600;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-3.9120231
"296 S";98.7509995;0.52000;0.00500;0.03600;0.49000;0.00000;0.06000;0.00400;0.00000;0.13400;0.00000;10000;400;250;"steam";"Zr-Nb-Sn";-8.2433567
"294 S";98.8430023;0.93000;0.00500;0.03800;0.01000;0.00000;0.07300;0.00500;0.00000;0.09600;0.00000;10000;400;250;"steam";"Zr-Nb-Sn";-8.1771555
"24 S";98.6999969;0.50000;0.00000;0.00000;0.00000;0.00000;0.30000;0.50000;0.00000;0.00000;0.00000;3890;350;168;"steam";"Zr-Nb-Sn";-7.9480987
"295 S";98.1490021;1.12000;0.00500;0.04500;0.49000;0.00000;0.06000;0.00500;0.00000;0.12600;0.00000;10000;400;250;"steam";"Zr-Nb-Sn";-7.6864605
"29 S";99.0000000;0.50000;0.00000;0.00000;0.00000;0.00000;0.30000;0.20000;0.00000;0.00000;0.00000;3890;350;170;"steam";"Zr-Nb-Sn";-7.6279311
"297 S";99.0339966;0.49000;0.00500;0.03700;0.01000;0.00000;0.04700;0.28000;0.00000;0.09700;0.00000;10000;400;250;"steam";"Zr-Nb-Sn";-7.5445223
"298 S";98.6504974;0.58000;0.00050;0.04400;0.32000;0.00000;0.06000;0.22000;0.00000;0.12500;0.00000;10000;400;250;"steam";"Zr-Nb-Sn";-7.3841796
"33 S";97.8000031;1.50000;0.00000;0.20000;0.10000;0.00000;0.40000;0.00000;0.00000;0.00000;0.00000;721;360;186;"steam";"Zr-Nb-Sn";-6.8003969
"31 S";97.0100021;1.00000;0.00000;0.40000;0.00000;0.00000;1.50000;0.00000;0.00000;0.09000;0.00000;14400;400;103;"steam";"Zr-Nb-Sn";-6.1915431
"353 S";97.0100021;1.00000;0.00000;0.40000;0.00000;0.00000;1.50000;0.00000;0.00000;0.09000;0.00000;7200;360;186;"steam";"Zr-Nb-Sn";-6.0196352
"351 S";97.2099991;1.00000;0.00000;0.40000;0.00000;0.00000;1.30000;0.00000;0.00000;0.09000;0.00000;14400;400;103;"steam";"Zr-Nb-Sn";-5.8137832
"359 S";97.1100006;1.00000;0.00000;0.60000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;14400;400;103;"steam";"Zr-Nb-Sn";-5.7721248
"356 S";97.8099976;0.60000;0.00000;0.30000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;14400;400;103;"steam";"Zr-Nb-Sn";-5.7550759
"355 S";97.3099976;0.70000;0.00000;0.60000;0.00000;0.00000;1.30000;0.00000;0.00000;0.09000;0.00000;14400;400;103;"steam";"Zr-Nb-Sn";-5.5767827
"360 S";97.2099991;1.00000;0.00000;0.40000;0.00000;0.00000;1.30000;0.00000;0.00000;0.09000;0.00000;7200;360;186;"steam";"Zr-Nb-Sn";-5.5442648
"362 S";97.7149963;1.01500;0.00000;0.10000;0.00000;0.00000;1.05000;0.00000;0.00000;0.12000;0.00000;10512;400;250;"steam";"Zr-Nb-Sn";-5.4580646
"358 S";97.4100037;1.20000;0.00000;0.50000;0.00000;0.00000;0.80000;0.00000;0.00000;0.09000;0.00000;14400;400;103;"steam";"Zr-Nb-Sn";-5.3853288
"363 S";97.7149963;1.01500;0.00000;0.10000;0.00000;0.00000;1.05000;0.00000;0.00000;0.12000;0.00000;3480;400;250;"steam";"Zr-Nb-Sn";-5.3697762
"347 S";98.2099991;0.60000;0.00000;0.30000;0.00000;0.00000;0.80000;0.00000;0.00000;0.09000;0.00000;14400;400;103;"steam";"Zr-Nb-Sn";-5.3598976
"361 S";97.2099991;1.00000;0.00000;0.40000;0.00000;0.00000;1.30000;0.00000;0.00000;0.09000;0.00000;14400;360;186;"steam";"Zr-Nb-Sn";-5.2770400
"364 S";97.7149963;1.01500;0.00000;0.10000;0.00000;0.00000;1.05000;0.00000;0.00000;0.12000;0.00000;1488;400;250;"steam";"Zr-Nb-Sn";-5.2383256
"348 S";97.7099991;0.70000;0.00000;0.30000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;14400;400;103;"steam";"Zr-Nb-Sn";-5.2247057
"185 S";98.8000031;0.80000;0.00000;0.00000;0.00000;0.00000;0.20000;0.20000;0.00000;0.00000;0.00000;3890;350;168;"steam";"Zr-Nb-Sn";-4.3653660
"186 S";97.0100021;1.00000;0.00000;0.40000;0.00000;0.00000;1.50000;0.00000;0.00000;0.09000;0.00000;14400;360;186;"steam";"Zr-Nb-Sn";-4.3087764
"180 S";98.6999969;0.50000;0.00000;0.00000;0.00000;0.00000;0.30000;0.50000;0.00000;0.00000;0.00000;3890;350;170;"steam";"Zr-Nb-Sn";-4.2758665
"365 S";98.7799988;0.00000;0.00000;0.21000;0.10000;0.00000;0.80000;0.00000;0.00000;0.11000;0.00000;1488;400;250;"steam";"Zr-Sn";-6.1760664
"366 S";98.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;3000;350;168;"steam";"Zr-Sn";-5.7797236
"367 S";97.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;2.00000;0.00000;0.00000;3000;350;168;"steam";"Zr-Sn";-5.4968996
"368 S";99.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;0.66000;0.00000;0.34000;0.00000;0.00000;3000;350;168;"steam";"Zr-Sn";-5.4648075
"370 S";98.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;0.67000;0.00000;1.33000;0.00000;0.00000;3000;350;168;"steam";"Zr-Sn";-5.4341187
"371 S";97.8000031;0.00000;0.00000;0.20000;0.00000;0.00000;0.67000;0.00000;1.33000;0.00000;0.00000;4000;350;168;"steam";"Zr-Sn";-5.3592782
"369 S";99.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;0.50000;0.00000;0.50000;0.00000;0.00000;3000;350;168;"steam";"Zr-Sn";-5.2599077
"372 S";98.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;0.67000;0.00000;1.33000;0.00000;0.00000;4000;350;168;"steam";"Zr-Sn";-5.1430154
"159 W";98.8000031;0.00000;0.20000;0.00000;0.00000;0.00000;0.00000;0.50000;0.50000;0.00000;0.00000;7000;350;168;"water";"Zr";-7.7062631
"158 W";98.9000015;0.00000;0.00000;0.10000;0.00000;0.00000;0.00000;0.25000;0.75000;0.00000;0.00000;7000;350;168;"water";"Zr";-7.5332437
"301 W";96.0000000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;3.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr";-6.9315071
"313 W";97.0000000;0.00000;1.50000;0.00000;0.00000;0.00000;0.00000;1.50000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr";-6.8636055
"316 W";95.0000000;0.00000;1.25000;0.00000;0.00000;0.00000;0.00000;3.75000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr";-6.6821704
"155 W";99.0000000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.25000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr";-6.5039582
"102 W";99.3000031;0.00000;0.00000;0.10000;0.00000;0.00000;0.00000;0.30000;0.30000;0.00000;0.00000;7000;350;168;"water";"Zr";-5.8304801
"154 W";99.0999985;0.00000;0.10000;0.00000;0.20000;0.00000;0.00000;0.30000;0.30000;0.00000;0.00000;7000;350;168;"water";"Zr";-5.4036779
"156 W";99.0000000;0.00000;0.25000;0.00000;0.00000;0.00000;0.00000;0.75000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr";-5.2504802
"93 W";99.0999985;0.00000;0.10000;0.00000;0.20000;0.00000;0.00000;0.15000;0.45000;0.00000;0.00000;7000;350;168;"water";"Zr";-4.9776840
"157 W";99.0999985;0.00000;0.20000;0.10000;0.00000;0.00000;0.00000;0.30000;0.30000;0.00000;0.00000;7000;350;168;"water";"Zr";-4.9017811
"160 W";99.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.50000;0.50000;0.00000;0.00000;7000;350;168;"water";"Zr";-4.6753244
"96 W";99.4000015;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.15000;0.45000;0.00000;0.00000;7000;350;168;"water";"Zr";-4.3959904
"107 W";99.1999969;0.00000;0.00000;0.00000;0.20000;0.00000;0.00000;0.30000;0.30000;0.00000;0.00000;7000;350;168;"water";"Zr";-4.3046398
"103 W";99.4000015;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.30000;0.30000;0.00000;0.00000;7000;350;168;"water";"Zr";-4.2826037
"95 W";99.3000031;0.00000;0.00000;0.10000;0.00000;0.00000;0.00000;0.15000;0.45000;0.00000;0.00000;7000;350;168;"water";"Zr";-4.1777263
"106 W";99.0999985;0.00000;0.00000;0.10000;0.20000;0.00000;0.00000;0.30000;0.30000;0.00000;0.00000;7000;350;168;"water";"Zr";-4.0997591
"94 W";99.1999969;0.00000;0.00000;0.20000;0.00000;0.00000;0.00000;0.30000;0.30000;0.00000;0.00000;7000;350;168;"water";"Zr";-3.7940919
"101 W";99.1999969;0.00000;0.20000;0.00000;0.00000;0.00000;0.00000;0.30000;0.30000;0.00000;0.00000;7000;350;168;"water";"Zr";-3.3667960
"169 W";99.2050018;0.53000;0.26500;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"water";"Zr-Nb";-9.0647984
"208 W";98.6999969;0.53000;0.27000;0.00000;0.00000;0.00000;0.00000;0.00000;0.50000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-9.0073996
"51 W";98.5000000;0.25000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.50000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-8.8048754
"161 W";99.6999969;0.10000;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"water";"Zr-Nb";-8.5023050
"203 W";99.1999969;0.53000;0.27000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-8.3142519
"207 W";98.6999969;0.53000;0.27000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-8.3041000
"206 W";98.9000015;0.53000;0.27000;0.00000;0.30000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-8.2940493
"198 W";99.0000000;0.50000;0.00000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"water";"Zr-Nb";-8.2548285
"43 W";99.0000000;0.25000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-8.1525497
"170 W";99.0009995;0.66600;0.33300;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"water";"Zr-Nb";-8.0368271
"49 W";98.1999969;0.25000;0.00000;0.75000;0.80000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-7.9575772
"191 W";98.5000000;0.40000;0.80000;0.00000;0.00000;0.00000;0.00000;0.00000;0.30000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-7.9020076
"199 W";97.0000000;0.50000;0.00000;1.50000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-7.8240461
"192 W";98.5000000;0.40000;0.80000;0.00000;0.30000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-7.7118340
"193 W";98.3000031;0.40000;0.80000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-7.7007227
"50 W";98.8000031;0.25000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.20000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-7.6627779
"204 W";98.9000015;0.53000;0.27000;0.30000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-7.6211052
"190 W";98.5000000;0.40000;0.80000;0.30000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-7.5959148
"196 W";98.1999969;0.50000;1.00000;0.30000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-7.5811000
"163 W";99.2050018;0.26500;0.53000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"water";"Zr-Nb";-7.5604005
"162 W";99.4000015;0.20000;0.40000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"water";"Zr-Nb";-7.5147247
"48 W";98.5000000;0.25000;0.00000;0.75000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-7.5055923
"47 W";98.8000031;0.25000;0.00000;0.75000;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-7.4353881
"205 W";98.9000015;0.53000;0.27000;0.00000;0.00000;0.00000;0.00000;0.00000;0.30000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-7.3898315
"216 W";97.5000000;1.35000;0.65000;0.00000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-7.3857913
"44 W";98.8000031;0.25000;0.20000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-7.2817216
"197 W";97.1999969;0.50000;0.80000;1.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-7.2788191
"140 W";99.0000000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.50000;0.00000;0.00000;0.00000;3890;350;168;"water";"Zr-Nb";-7.2365451
"45 W";98.5000000;0.25000;0.50000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-7.2088604
"324 W";98.9000015;0.80000;0.00000;0.00000;0.00000;0.00000;0.00000;0.20000;0.00000;0.00000;0.10000;3890;350;168;"water";"Zr-Nb";-7.1770883
"167 W";99.6999969;0.20000;0.10000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"water";"Zr-Nb";-7.1519523
"213 W";97.6999969;1.35000;0.65000;0.00000;0.30000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-7.0527811
"212 W";97.6999969;1.35000;0.65000;0.00000;0.00000;0.00000;0.00000;0.00000;0.30000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-7.0271020
"314 W";98.9010010;1.00000;0.00000;0.00000;0.00000;0.00900;0.00000;0.00000;0.00000;0.09000;0.00000;7200;360;186;"water";"Zr-Nb";-7.0258508
"299 W";98.9100037;1.00000;0.00000;0.01000;0.00000;0.00000;0.00000;0.00000;0.00000;0.08000;0.00000;14400;360;186;"water";"Zr-Nb";-7.0202398
"311 W";98.7799988;1.00000;0.00000;0.10000;0.00000;0.00000;0.00000;0.00000;0.00000;0.12000;0.00000;7200;360;186;"water";"Zr-Nb";-6.9926476
"261 W";99.1999969;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.20000;0.00000;0.00000;0.10000;3890;350;168;"water";"Zr-Nb";-6.9852304
"326 W";96.0000000;1.00000;0.00000;0.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;2424;350;169;"water";"Zr-Nb";-6.9722939
"171 W";96.1100006;0.80000;0.00000;0.00000;0.00000;0.00000;0.00000;3.09000;0.00000;0.00000;0.00000;960;350;168;"water";"Zr-Nb";-6.9660907
"302 W";98.9010010;1.00000;0.00000;0.00000;0.00000;0.00900;0.00000;0.00000;0.00000;0.09000;0.00000;7200;360;186;"water";"Zr-Nb";-6.9543810
"141 W";97.5000000;0.50000;0.00000;1.50000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-6.9232998
"256 W";98.1999969;0.50000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.30000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-6.9129100
"253 W";98.9800034;0.80000;0.00000;0.00000;0.00000;0.00000;0.00000;0.22000;0.00000;0.00000;0.00000;2225;350;168;"water";"Zr-Nb";-6.9051881
"189 W";98.1999969;0.40000;0.80000;0.30000;0.00000;0.00000;0.00000;0.00000;0.30000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-6.9027677
"322 W";98.9010010;1.00000;0.00000;0.00000;0.00000;0.00900;0.00000;0.00000;0.00000;0.09000;0.00000;3600;360;186;"water";"Zr-Nb";-6.8669333
"166 W";97.1999969;0.50000;0.00000;1.50000;0.80000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-6.8307943
"210 W";98.0000000;1.35000;0.65000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-6.7899723
"215 W";97.5000000;1.35000;0.65000;0.00000;0.00000;0.00000;0.00000;0.00000;0.50000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-6.7833276
"138 W";98.0000000;0.50000;0.00000;1.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3500;350;170;"water";"Zr-Nb";-6.7710156
"165 W";98.8000031;0.40000;0.80000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"water";"Zr-Nb";-6.7622128
"321 W";98.9010010;1.00000;0.00000;0.00000;0.00000;0.00900;0.00000;0.00000;0.00000;0.09000;0.00000;3600;360;186;"water";"Zr-Nb";-6.7536044
"145 W";98.9000015;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.50000;0.00000;0.00000;0.10000;3890;350;168;"water";"Zr-Nb";-6.7532372
"318 W";98.9010010;1.00000;0.00000;0.00000;0.00000;0.00900;0.00000;0.00000;0.00000;0.09000;0.00000;3600;360;186;"water";"Zr-Nb";-6.7417703
"329 W";99.0000000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;14400;360;186;"water";"Zr-Nb";-6.7185135
"168 W";99.4000015;0.40000;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"water";"Zr-Nb";-6.7116404
"173 W";98.0000000;1.35000;0.65000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"water";"Zr-Nb";-6.6966844
"257 W";98.1999969;0.50000;1.00000;0.00000;0.30000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-6.6913180
"46 W";98.1999969;0.25000;0.80000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-6.6766434
